image_filename,flight_date,phenotype_label,genotype_id
0050265b-6c1c-45c4-9479-b1de1b353502_c5404622.jpg,2015-12-18,whitish_yellow,G276
0050265b-6c1c-45c4-9479-b1de1b353502_3dfcb817.jpg,2015-12-18,whitish_yellow,G276
0050265b-6c1c-45c4-9479-b1de1b353502_1dc7bc5b.jpg,2015-12-18,whitish_yellow,G276
016abb7e-476e-47b0-abc0-aa764a55a310_2b9e90fe.jpg,2015-12-18,whitish_yellow,G256
016abb7e-476e-47b0-abc0-aa764a55a310_1450cb94.jpg,2015-12-18,whitish_yellow,G256
016abb7e-476e-47b0-abc0-aa764a55a310_de6c0166.jpg,2015-12-18,whitish_yellow,G256
017c9c27-5682-426f-8fd1-59aec9d4ea96_554997c2.jpg,2015-12-18,whitish_greenish,G102
017c9c27-5682-426f-8fd1-59aec9d4ea96_558075d9.jpg,2015-12-18,whitish_greenish,G102
017c9c27-5682-426f-8fd1-59aec9d4ea96_ee6a200b.jpg,2015-12-18,whitish_greenish,G102
017de1ce-d659-4729-8c34-c76256aba57e_1cb1bcf5.jpg,2015-12-18,whitish_greenish,G425
017de1ce-d659-4729-8c34-c76256aba57e_f59b3df2.jpg,2015-12-18,whitish_greenish,G425
017de1ce-d659-4729-8c34-c76256aba57e_1be15a10.jpg,2015-12-18,whitish_greenish,G425
02284a46-4b75-4793-bc58-92689c3f0680_085eec18.jpg,2015-12-18,large_open,G372
02284a46-4b75-4793-bc58-92689c3f0680_5d9b6820.jpg,2015-12-18,large_open,G372
02284a46-4b75-4793-bc58-92689c3f0680_01bebe2c.jpg,2015-12-18,large_open,G372
024c73ca-10f6-4a31-80cb-457df3d3ed47_842aed25.jpg,2015-12-18,small_open,G137
024c73ca-10f6-4a31-80cb-457df3d3ed47_198bc9db.jpg,2015-12-18,small_open,G137
024c73ca-10f6-4a31-80cb-457df3d3ed47_e6f52e6c.jpg,2015-12-18,small_open,G137
0257271e-1ba9-4eab-9433-bf936150308d_36adf606.jpg,2015-12-18,small_open,G187
0257271e-1ba9-4eab-9433-bf936150308d_08ca9d62.jpg,2015-12-18,small_open,G187
0257271e-1ba9-4eab-9433-bf936150308d_d7d37771.jpg,2015-12-18,small_open,G187
03320664-ea33-4acc-b414-14bc62d54d2e_86457b44.jpg,2015-12-18,small_open,G421
03320664-ea33-4acc-b414-14bc62d54d2e_f8a22141.jpg,2015-12-18,small_open,G421
03320664-ea33-4acc-b414-14bc62d54d2e_3e67ef9d.jpg,2015-12-18,small_open,G421
03afd3fa-e10e-40d7-8542-25640cfe1c08_df7d9f2b.jpg,2015-12-18,whitish_yellow,G155
03afd3fa-e10e-40d7-8542-25640cfe1c08_b270b3c4.jpg,2015-12-18,whitish_yellow,G155
03afd3fa-e10e-40d7-8542-25640cfe1c08_ab75278b.jpg,2015-12-18,whitish_yellow,G155
03d5ea03-dfc0-43aa-b109-8306b039d8c0_4274e775.jpg,2015-12-18,large_open,G168
03d5ea03-dfc0-43aa-b109-8306b039d8c0_9e7225c1.jpg,2015-12-18,large_open,G168
03d5ea03-dfc0-43aa-b109-8306b039d8c0_0d5bdb51.jpg,2015-12-18,large_open,G168
042a0c72-6359-4b0d-9a2c-b66034b0b2ef_13ba54da.jpg,2015-12-18,small_open,G195
042a0c72-6359-4b0d-9a2c-b66034b0b2ef_6ad7ddff.jpg,2015-12-18,small_open,G195
042a0c72-6359-4b0d-9a2c-b66034b0b2ef_f9974782.jpg,2015-12-18,small_open,G195
04c9734a-a3b7-45f0-8396-66b5e73ea17c_5e234dcc.jpg,2015-12-18,small_open,G133
04c9734a-a3b7-45f0-8396-66b5e73ea17c_ed0fdec4.jpg,2015-12-18,small_open,G133
04c9734a-a3b7-45f0-8396-66b5e73ea17c_d5dde1c9.jpg,2015-12-18,small_open,G133
05521657-895f-4999-bce8-dd0663584bcc_48dcd525.jpg,2015-12-18,whitish_yellow,G434
05521657-895f-4999-bce8-dd0663584bcc_1cba79a4.jpg,2015-12-18,whitish_yellow,G434
05521657-895f-4999-bce8-dd0663584bcc_c128df60.jpg,2015-12-18,whitish_yellow,G434
05769100-0b78-4e4c-afd6-8a97bceafec2_aeaba037.jpg,2015-12-18,small_open,G152
05936a52-a932-4eda-8f90-1911b31d2ea2_9b177383.jpg,2015-12-18,brownish,G018
05936a52-a932-4eda-8f90-1911b31d2ea2_2ffbc05b.jpg,2015-12-18,brownish,G018
05936a52-a932-4eda-8f90-1911b31d2ea2_13bcb44f.jpg,2015-12-18,brownish,G018
0664e554-67b6-43fe-9502-79c0e99ff82e_a640b5fd.jpg,2015-12-18,whitish_yellow,G172
0664e554-67b6-43fe-9502-79c0e99ff82e_d221851f.jpg,2015-12-18,whitish_yellow,G172
0664e554-67b6-43fe-9502-79c0e99ff82e_573a9a4b.jpg,2015-12-18,whitish_yellow,G172
066fef1e-52df-47f7-a16b-c3be4d5a1500_ff971908.jpg,2015-12-18,whitish_greenish,G095
066fef1e-52df-47f7-a16b-c3be4d5a1500_0bdd6403.jpg,2015-12-18,whitish_greenish,G095
066fef1e-52df-47f7-a16b-c3be4d5a1500_99d44be2.jpg,2015-12-18,whitish_greenish,G095
072ccd8f-8e21-4f0e-a527-c315a1eb833f_f08a2e22.jpg,2015-12-18,whitish_yellow,G042
072ccd8f-8e21-4f0e-a527-c315a1eb833f_338b94b3.jpg,2015-12-18,whitish_yellow,G042
072ccd8f-8e21-4f0e-a527-c315a1eb833f_9969c171.jpg,2015-12-18,whitish_yellow,G042
077c45ad-f80a-4f41-ac1d-a74e940b1c4d_992a0daf.jpg,2015-12-18,small_open,G131
07916a44-482a-40a1-b087-61b6dae8ba41_3d59c725.jpg,2015-12-18,small_open,G029
07916a44-482a-40a1-b087-61b6dae8ba41_66057569.jpg,2015-12-18,small_open,G029
07916a44-482a-40a1-b087-61b6dae8ba41_f8f8397b.jpg,2015-12-18,small_open,G029
07cb7438-4799-4f4b-a135-5684e582ae0e_53c304a1.jpg,2015-12-18,whitish_greenish,G144
07cb7438-4799-4f4b-a135-5684e582ae0e_1e9c07f6.jpg,2015-12-18,whitish_greenish,G144
07cb7438-4799-4f4b-a135-5684e582ae0e_2ce60d46.jpg,2015-12-18,whitish_greenish,G144
08615a17-c9aa-48ba-93d0-6067d2500ccb_25e69afc.jpg,2015-12-18,small_open,G406
088a8598-47d1-4114-a94c-24053564c80e_cad167d3.jpg,2015-12-18,whitish_greenish,G129
088a8598-47d1-4114-a94c-24053564c80e_8cbe1859.jpg,2015-12-18,whitish_greenish,G129
088a8598-47d1-4114-a94c-24053564c80e_8c436e46.jpg,2015-12-18,whitish_greenish,G129
09059a3d-7108-4491-8c3f-4ee7c4d94a33_92db235a.jpg,2015-12-18,whitish_yellow,G107
09059a3d-7108-4491-8c3f-4ee7c4d94a33_f618c17f.jpg,2015-12-18,whitish_yellow,G107
09059a3d-7108-4491-8c3f-4ee7c4d94a33_e51067e1.jpg,2015-12-18,whitish_yellow,G107
0918bb19-2170-4c06-8b8e-7d7e01d2eed3_c1755e39.jpg,2015-12-18,brownish,G235
0918bb19-2170-4c06-8b8e-7d7e01d2eed3_37a15a22.jpg,2015-12-18,brownish,G235
0918bb19-2170-4c06-8b8e-7d7e01d2eed3_a1eada0d.jpg,2015-12-18,brownish,G235
092f37dc-2d9c-4f02-baa9-73f1d22942e8_bed2fe87.jpg,2015-12-18,small_open,G132
092f37dc-2d9c-4f02-baa9-73f1d22942e8_1cca2e65.jpg,2015-12-18,small_open,G132
092f37dc-2d9c-4f02-baa9-73f1d22942e8_b4f8526f.jpg,2015-12-18,small_open,G132
095ecc40-34a1-4025-b5f7-a04810aebf1c_95115878.jpg,2015-12-18,large_open,G364
095ecc40-34a1-4025-b5f7-a04810aebf1c_6246df8a.jpg,2015-12-18,large_open,G364
095ecc40-34a1-4025-b5f7-a04810aebf1c_f3a83c4a.jpg,2015-12-18,large_open,G364
098aac51-7a32-4f83-89b2-cb5dae90e901_c0347594.jpg,2015-12-18,whitish_yellow,G041
